カテゴリー,メニュー,コード,価格(円),おいしさ(1-5),安さ(1-5),人気度(1-5),Tier,image_url,image_search_url,備考
"前菜","ポテトのグリル","1416","300","4","3","1","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQktRfgEZGG6AtiWZfvYNlbTW9z7qyAZRh1585WrTywybLxZcXsjSGDfXC1rLE&s","https://www.google.com/search?tbm=isch&q=%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4+%E3%83%9D%E3%83%86%E3%83%88%E3%81%AE%E3%82%B0%E3%83%AA%E3%83%AB",""
"前菜","バッファローモッツァレラのカプレーゼ","1417","430","4","1","1","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTc24HqAB2IUkcRpBzYn2qvk78miwORHBPpZjscxjcrvKK7KHe0rwHMuI1Gck&s","https://www.google.com/search?tbm=isch&q=%E3%83%90%E3%83%83%E3%83%95%E3%82%A1%E3%83%AD%E3%83%BC+%E3%83%A2%E3%83%83%E3%83%84%E3%82%A1%E3%83%AC%E3%83%A9+%E3%82%AB%E3%83%97%E3%83%AC%E3%83%BC%E3%82%BC",""
"前菜","ハモン･セラーノ","1422","320","3","1","1","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5CR8WxyzFaFwldcFz_rhOo6e1lpPAmkeBILDX7QiAzNpEnV-eAbKHJZP90A&s","https://www.google.com/search?tbm=isch&q=%E3%83%8F%E3%83%A2%E3%83%B3%E3%83%BB%E3%82%BB%E3%83%A9%E3%83%BC%E3%83%8E+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"前菜","生ハムとバッファローモッツァレラの盛り合わせ","1423","500","5","1","2","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsImmMdXKTZanbQWisIVR-4k5NX2X_3jYOfXslx_CI67uGLvQI79hUHBYRNA&s","https://www.google.com/search?tbm=isch&q=%E7%94%9F%E3%83%8F%E3%83%A0+%E3%83%90%E3%83%83%E3%83%95%E3%82%A1%E3%83%AD%E3%83%BC+%E3%83%A2%E3%83%83%E3%83%84%E3%82%A1%E3%83%AC%E3%83%A9",""
"前菜","柔らか青豆の温サラダ","1425","200","2","3","3","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSg002nPSrCYW8K4-aVgucee7mmoOqcJ63vlOxRNJv3P-JssiW4DxOFaze6AVE&s","https://www.google.com/search?tbm=isch&q=%E8%BB%9F%E3%82%89%E3%81%8B%E9%9D%92%E8%B1%86+%E6%B8%A9%E3%82%B5%E3%83%A9%E3%83%80+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"サラダ","小エビのサラダ","1202","350","3","3","4","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoBK0Oo-aUiOqKgvyFOvHuYdwuUg8JpWeWDs1Ue-R_gaz3nPLKiUmL_pkUAA&s","https://www.google.com/search?tbm=isch&q=%E5%B0%8F%E3%82%A8%E3%83%93%E3%81%AE%E3%82%B5%E3%83%A9%E3%83%80+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"サラダ","わかめのサラダ","1205","350","2","2","2","D","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnqkYFybRMh8w89SVf6LOXFpCfxk9iVVto7omjWzodiQoFpW3WTAa9tcFHMw&s","https://www.google.com/search?tbm=isch&q=%E3%82%8F%E3%81%8B%E3%82%81%E3%81%AE%E3%82%B5%E3%83%A9%E3%83%80+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"サラダ","チキンのサラダ","1209","350","4","3","4","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQstb0RYwjPBMSkkQvwpbwJxfdLZk0FXxjPBBvE8LzVOYh_mmGINPhYfoLM2I&s","https://www.google.com/search?tbm=isch&q=%E3%83%81%E3%82%AD%E3%83%B3%E3%81%AE%E3%82%B5%E3%83%A9%E3%83%80+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"スープ","コーンクリームスープ","1301","150","3","4","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQaFNv_BfehOyb9OdMV_LfXU3AkOTr_M8wqWtW2JQQf_MIIctlLjCmVMa1ZY0&s","https://www.google.com/search?tbm=isch&q=%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%BC%E3%83%97+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"スープ","田舎風ミネストローネ","1305","300","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkTgWlngxSgmCxSEfYu5QrD1OVJn1uoKt7DEan42Q6NoWiioDo6LNvRblo45k&s","https://www.google.com/search?tbm=isch&q=%E7%94%B0%E8%88%8E%E9%A2%A8%E3%83%9F%E3%83%8D%E3%82%B9%E3%83%88%E3%83%AD%E3%83%BC%E3%83%8D+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"スープ","玉ねぎのズッパ","1309","300","5","5","4","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToZu306nG2GR09WMpuw9Sx6Cb42NCUV2biEYBh8pm-A-iLcHXMeS4zgH3l_A&s","https://www.google.com/search?tbm=isch&q=%E7%8E%89%E3%81%AD%E3%81%8E%E3%81%AE%E3%82%BA%E3%83%83%E3%83%91+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ピザ","バッファローモッツァレラのマルゲリータピザ","2203","400","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPezbm6YLuXT24fFTZpfHrZVM7ZjjAieXUHvDUaG4loXnZWqmlyOvpUAZA7g&s","https://www.google.com/search?tbm=isch&q=%E3%83%90%E3%83%83%E3%83%95%E3%82%A1%E3%83%AD%E3%83%BC+%E3%83%A2%E3%83%83%E3%83%84%E3%82%A1%E3%83%AC%E3%83%A9+%E3%83%9E%E3%83%AB%E3%82%B2%E3%83%AA%E3%83%BC%E3%82%BF+%E3%83%94%E3%82%B6",""
"ピザ","野菜ときのこのピザ","2204","400","4","4","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf8G7pVBE9c1c3C2r5jmXnfgoRjEY4wU8YquRcF8qesDfhIxhd2JMjpmZIYq8&s","https://www.google.com/search?tbm=isch&q=%E9%87%8E%E8%8F%9C%E3%81%A8%E3%81%8D%E3%81%AE%E3%81%93+%E3%83%94%E3%82%B6+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ピザ","たっぷりコーンのピザ","2206","400","3","3","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRw7G90FaNBF2TDiG5cKrO_UrZ4nFqde2Jg7bq87OPt4rg5_HlRE2JzBhpWvg&s","https://www.google.com/search?tbm=isch&q=%E3%81%9F%E3%81%A3%E3%81%B7%E3%82%8A%E3%82%B3%E3%83%BC%E3%83%B3+%E3%83%94%E3%82%B6+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ピザ","ソーセージピザ","2208","400","3","4","3","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbkSlHr3Ivbs6SS3SEjcyRYWttiwQAi-1A-3yl0K-RA0-hX-GXTHy_Q0EKIA&s","https://www.google.com/search?tbm=isch&q=%E3%82%BD%E3%83%BC%E3%82%BB%E3%83%BC%E3%82%B8%E3%83%94%E3%82%B6+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ドリア・グラタン","ミラノ風ドリア","2101","300","4","5","5","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwJ9mrMh-S6YXgDS5Sp3M_GBDz9_PqFRO4cDh9jyd115nlG-89U32LR8n0rF4&s","https://www.google.com/search?tbm=isch&q=%E3%83%9F%E3%83%A9%E3%83%8E%E9%A2%A8%E3%83%89%E3%83%AA%E3%82%A2+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ドリア・グラタン","半熟卵のミラノ風ドリア","2103","350","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQq6bJrNBBwevtfkjRkT6qlxiWz53J907tzd9z9hMGkaYT8PTFdgLgaxyHAtXQ&s","https://www.google.com/search?tbm=isch&q=%E5%8D%8A%E7%86%8A%E5%8D%B5+%E3%83%9F%E3%83%A9%E3%83%8E%E9%A2%A8%E3%83%89%E3%83%AA%E3%82%A2+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ドリア・グラタン","焼きチーズミラノ風ドリア","2108","350","5","5","4","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVIzgPelX0iI255HEzeTroPorMjGbj3A6BrTi9eTD8ZPHkrX74KEAto7na5lo&s","https://www.google.com/search?tbm=isch&q=%E7%84%BC%E3%81%8D%E3%83%81%E3%83%BC%E3%82%BA+%E3%83%9F%E3%83%A9%E3%83%8E%E9%A2%A8%E3%83%89%E3%83%AA%E3%82%A2+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ドリア・グラタン","タラコとポップコーンシュリンプのドリア","2110","400","4","4","1","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7K0mN6Jm75UrDAS0-6XWjAVHK9cZDXHn4n3FKoXHfoO7CiT4_XhjBLBnlb7Q&s","https://www.google.com/search?tbm=isch&q=%E3%82%BF%E3%83%A9%E3%82%B3+%E3%83%9D%E3%83%83%E3%83%97%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A5%E3%83%AA%E3%83%B3%E3%83%97+%E3%83%89%E3%83%AA%E3%82%A2+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ドリア・グラタン","ポップコーンシュリンプとタラコのクリームグラタン","2115","430","4","3","1","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBeDcbkYUejAcipl_ZhaRjMDmCmiGXXieRpB2q0XiqJKj3tqqaQ74fbnv7L2Q&s","https://www.google.com/search?tbm=isch&q=%E3%83%9D%E3%83%83%E3%83%97%E3%82%B3%E3%83%BC%E3%83%B3%E3%82%B7%E3%83%A5%E3%83%AA%E3%83%B3%E3%83%97+%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%B0%E3%83%A9%E3%82%BF%E3%83%B3+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","タラコソースシシリー風","2301","400","3","4","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMJVK8mOfei4PXRrEFidoXasld7hvzQ7lqKjb1ousxLKF1vzst-QjGhfGaRZE&s","https://www.google.com/search?tbm=isch&q=%E3%82%BF%E3%83%A9%E3%82%B3%E3%82%BD%E3%83%BC%E3%82%B9+%E3%82%B7%E3%82%B7%E3%83%AA%E3%83%BC%E9%A2%A8+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","ペペロンチーノ","2303","300","3","5","5","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7HVvwcKiRUyf544kaAet8Oq4janGOvUey-rBNjz5r7KPfSmHZPaq4zGl-bQ&s","https://www.google.com/search?tbm=isch&q=%E3%83%9A%E3%83%9A%E3%83%AD%E3%83%B3%E3%83%81%E3%83%BC%E3%83%8E+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","パルマ風スパゲッティ","2304","400","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1xp2dDqhwY5KWtNTkC3gcmfLCk5D_aAYns8sab--OFLz3Q_JNOj3UJjEKUw&s","https://www.google.com/search?tbm=isch&q=%E3%83%91%E3%83%AB%E3%83%9E%E9%A2%A8%E3%82%B9%E3%83%91%E3%82%B2%E3%83%83%E3%83%86%E3%82%A3+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","カルボナーラ","2305","500","5","3","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzYWzZkUu3CkdCrRDjMjz7Jp2ROI8fW_h-bX6B5-3X985zDU5iii6COZEB-g&s","https://www.google.com/search?tbm=isch&q=%E3%82%AB%E3%83%AB%E3%83%9C%E3%83%8A%E3%83%A9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","ミートソースボロニア風","2306","400","4","4","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMAo5KxNZjq9e5XscSdpnm80bibn9spdalE6AFW8g9T2rOIaHTZ8Z4DwRnoSs&s","https://www.google.com/search?tbm=isch&q=%E3%83%9F%E3%83%BC%E3%83%88%E3%82%BD%E3%83%BC%E3%82%B9+%E3%83%9C%E3%83%AD%E3%83%8B%E3%82%A2%E9%A2%A8+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","スープ入り塩味ボンゴレ","2310","500","4","4","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT34LK1dI-9A20ZomS1QdK2YxgEOswYZy44bSn9G1S_90A6OSQYQZWiWeXVmQ&s","https://www.google.com/search?tbm=isch&q=%E3%83%9C%E3%83%B3%E3%82%B4%E3%83%AC+%E3%82%B9%E3%83%BC%E3%83%97%E5%85%A5%E3%82%8A+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","半熟卵のミートソースボロニア風","2316","450","3","4","2","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkRTMrCZi-M0mXnksT5IE-xQytGxk-b_qUNbKZo_dl9vZ0QgD-y9LJtIfMEA&s","https://www.google.com/search?tbm=isch&q=%E5%8D%8A%E7%86%8A%E5%8D%B5+%E3%83%9F%E3%83%BC%E3%83%88%E3%82%BD%E3%83%BC%E3%82%B9+%E3%83%9C%E3%83%AD%E3%83%8B%E3%82%A2%E9%A2%A8+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","半熟卵のペペロンチーノ","2317","350","3","5","4","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS8gc0iz1mbq81ZVCxL35egK33aPDBpCRJKjWhcl7sLALR-rBZqjrjMOr5uA&s","https://www.google.com/search?tbm=isch&q=%E5%8D%8A%E7%86%8A%E5%8D%B5+%E3%83%9A%E3%83%9A%E3%83%AD%E3%83%B3%E3%83%81%E3%83%BC%E3%83%8E+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","半熟卵のカルボナーラ","2318","550","4","3","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVJ-rtfcHiLaXTB8ZIeiRJxz0KMeKNnbJRgJsRljpyQgFbH0TcvSxEoPp_6KE&s","https://www.google.com/search?tbm=isch&q=%E5%8D%8A%E7%86%8A%E5%8D%B5+%E3%82%AB%E3%83%AB%E3%83%9C%E3%83%8A%E3%83%A9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","小エビのタラコソース","2320","540","4","3","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb1fVahvY0TBvHB6ug3PI6w1F2nuddDD_I9vfvd12xPl7JIUWZMysbh51uBw&s","https://www.google.com/search?tbm=isch&q=%E5%B0%8F%E3%82%A8%E3%83%93+%E3%82%BF%E3%83%A9%E3%82%B3%E3%82%BD%E3%83%BC%E3%82%B9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","きのことほうれん草のクリームスパゲッティ","2321","600","4","2","2","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0dCpiX92ZuS0AYjthGxw_rk9Dm8JsB5i3-j8-20b5DEggfEJnlaENd5bD&s","https://www.google.com/search?tbm=isch&q=%E3%81%8D%E3%81%AE%E3%81%93%E3%81%A8%E3%81%BB%E3%81%86%E3%82%8C%E3%82%93%E8%8D%89+%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%91%E3%82%B2%E3%83%83%E3%83%86%E3%82%A3+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","ペンネアラビアータ","2325","430","3","4","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDfU81vzq0Uhg75hEtYl3aX80V71f-m0tbciBZ3_lL0xycL_HIsDS0UXzHNQ&s","https://www.google.com/search?tbm=isch&q=%E3%83%9A%E3%83%B3%E3%83%8D%E3%82%A2%E3%83%A9%E3%83%93%E3%82%A2%E3%83%BC%E3%82%BF+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"パスタ","イカの墨入りセピアソース","2328","500","4","3","3","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJ8KQnBVupidhWsWabGJ7bhJ9qnkP412uum5yDvy8RWsz0kAszh2ZIWsTW0Q&s","https://www.google.com/search?tbm=isch&q=%E3%82%A4%E3%82%AB%E3%81%AE%E5%A2%A8%E5%85%A5%E3%82%8A+%E3%82%BB%E3%83%94%E3%82%A2%E3%82%BD%E3%83%BC%E3%82%B9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","若鶏のディアボラ風","2402","500","5","4","5","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs4vAzBDBYVgQzK4Bwaz3xJq0e76wJQcGzIUdmFkIg3VLHgKPx9OGqTxUEij0&s","https://www.google.com/search?tbm=isch&q=%E8%8B%A5%E9%B6%8F%E3%81%AE%E3%83%87%E3%82%A3%E3%82%A2%E3%83%9C%E3%83%A9%E9%A2%A8+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","イタリアンハンバーグ","2403","500","5","4","4","S","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEnhna8lwu8rV280xo_Sr9qY_8QsqrUrQr0SHHJJcFVTqTOuOH2DB8uOOn3A&s","https://www.google.com/search?tbm=isch&q=%E3%82%A4%E3%82%BF%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","柔らかチキンのチーズ焼き","2404","500","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLxt3CZl6eGRuhR3GLRhT6L042UkZ-rUUbOF-dWmpF8_UtJA-rc_D_3h3_DQ&s","https://www.google.com/search?tbm=isch&q=%E8%BB%9F%E3%82%89%E3%81%8B%E3%83%81%E3%82%AD%E3%83%B3+%E3%83%81%E3%83%BC%E3%82%BA%E7%84%BC%E3%81%8D+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","ハンバーグステーキ","2406","400","3","4","4","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXSChRTSJjkKX-PmJFheLYkxufkhcfzy94zgAO_SxAcgofRgU_7uPJKmQLrOE&s","https://www.google.com/search?tbm=isch&q=%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","ディアボラ風ハンバーグ","2407","500","4","4","4","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0dH7NKbmVHjcvsSgVcBk_EQBRLgn_8tXJqmyvUoSkSpn9cUL6O-_l-URsPA&s","https://www.google.com/search?tbm=isch&q=%E3%83%87%E3%82%A3%E3%82%A2%E3%83%9C%E3%83%A9%E9%A2%A8%E3%83%8F%E3%83%B3%E3%83%90%E3%83%BC%E3%82%B0+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","ミックスグリル","2418","650","3","3","3","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0rEmJQ9-LtE3DPOmQBqAYwg81hFtkp30SLluH1GAXY59NwUlzVZVCPYq0oA&s","https://www.google.com/search?tbm=isch&q=%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9%E3%82%B0%E3%83%AA%E3%83%AB+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"肉料理","ラムのランプステーキ","2417","1090","5","1","2","A","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIbvTTm6CUWcAXUCy7zrXetRrs6C_LwsqmttmNmgKK5ljPjt47cxCWkVr5OQ&s","https://www.google.com/search?tbm=isch&q=%E3%83%A9%E3%83%A0%E3%81%AE%E3%83%A9%E3%83%B3%E3%83%97%E3%82%B9%E3%83%86%E3%83%BC%E3%82%AD+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ライス・パン","ライス","3101","150","3","2","4","C","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpzLGhRMuCdiFng2d-0CGZaYS2Ktrj0NMdZkFDqn9NWY3e_iRjkQTslNDrQA&s","https://www.google.com/search?tbm=isch&q=%E3%83%A9%E3%82%A4%E3%82%B9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
"ライス・パン","ラージライス","3102","200","3","3","4","B","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnN7k-T3P_FIMRHhoBA_tRYmlmRs7xJkgNq9EOnupA8pfh8eZkgQiVK3RIOjY&s","https://www.google.com/search?tbm=isch&q=%E3%83%A9%E3%83%BC%E3%82%B8%E3%83%A9%E3%82%A4%E3%82%B9+%E3%82%B5%E3%82%A4%E3%82%BC%E3%83%AA%E3%83%A4",""
